"steam_appid","name","developers","publishers","categories","genres","required_age","n_achievements","platforms","is_released","release_date","additional_content","total_reviews","total_positive","total_negative","review_score","review_score_desc","positive_percentual","metacritic","is_free","price_initial..USD.","Single.player","Family.Sharing","Steam.Achievements","In.App.Purchases","Steam.Trading.Cards","Steam.Cloud","Partial.Controller.Support","Multi.player","PvP","Shared.Split.Screen.PvP","Co.op","Shared.Split.Screen.Co.op","Remote.Play.Together","Full.controller.support","Online.PvP","Tracked.Controller.Support","VR.Only","Steam.Leaderboards","Shared.Split.Screen","Online.Co.op","Stats","Steam.Workshop","Remote.Play.on.TV","Captions.available","MMO","Cross.Platform.Multiplayer","Commentary.available","LAN.PvP","Includes.level.editor","VR.Supported","VR.Support","Remote.Play.on.Phone","Remote.Play.on.Tablet","Valve.Anti.Cheat.enabled","LAN.Co.op","Includes.Source.SDK","SteamVR.Collectibles","HDR.available","Steam.Turn.Notifications","Steam.Timeline","Adventure","Casual","Free.To.Play","Simulation","Nudity","Strategy","Indie","Action","RPG","Sports","Early.Access","Massively.Multiplayer","Racing","Violent","Gore","Design...Illustration","Sexual.Content","Audio.Production","Education","Software.Training","Utilities","Animation...Modeling","Web.Publishing","Game.Development","Photo.Editing","Accounting","windows","mac","linux","num_ac"
2672970,"Immortal Love: Polar Lights Collector's Edition","['F.F.S. Video Games Limited']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-11-14 0:00:00","[]",2,1,1,0,"2 user reviews",50,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2661400,"Mystery Trackers: Darkwater Bay Collector's Edition","['Elephant Games']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-27 0:00:00","[]",3,1,2,0,"3 user reviews",33.3,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2661410,"Halloween Stories: Black Book","['Elephant Games']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-31 0:00:00","[]",1,1,0,0,"1 user reviews",100,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2661420,"Chimeras: Price of Greed Collector's Edition","['Elephant Games']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-11-03 0:00:00","[]",2,1,1,0,"2 user reviews",50,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2655710,"Halloween Stories: Horror Movie","['Elephant']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-24 0:00:00","[]",3,3,0,0,"3 user reviews",100,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2645350,"Paranormal Files: Trials of Worth Collector's Edition","['Elaphant']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-19 0:00:00","[]",1,0,1,0,"1 user reviews",0,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2632180,"Living Legends: Voice of the Sea","['Friendly Fox']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-10 0:00:00","[]",4,3,1,0,"4 user reviews",75,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2627380,"Halloween Stories: Black Book Collector's Edition","['Elephant']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-06 0:00:00","[]",9,7,2,0,"9 user reviews",77.8,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2616760,"Strange Investigations: Becoming","['Elephant']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-02 0:00:00","[]",1,1,0,0,"1 user reviews",100,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2614820,"It Happened Here: Beacon of Truth Collector's Edition","['Elephant']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-09-29 0:00:00","[]",3,3,0,0,"3 user reviews",100,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2605100,"Whispered Secrets: Tying the Knot","['grandma']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-09-26 0:00:00","[]",2,2,0,0,"2 user reviews",100,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
